Rank,id,Bradley-Terry Score,BT p2.5,BT p97.5,Confidence interval,Rank p2.5,Rank p97.5,Total votes,Consumption Wh (1000 tokens),Size,Parameters (B),Architecture,Release,Organisation,License
1,gemini-3-flash-preview,1132,1087,1174,+1/-9,1,11,174,N/A,XL,N/A,moe,12/2025,Google,api-only
2,mistral-large-2512,1120,1105,1133,+2/-3,1,6,1442,50,XL,675,moe,12/2025,Mistral AI,open-weights
3,mistral-medium-2508,1115,1107,1123,+2/-1,2,5,5387,N/A,L,N/A,maybe-dense,08/2025,Mistral AI,api-only
4,gemini-2.5-flash,1104,1096,1114,+1/-4,4,9,3972,N/A,XL,N/A,moe,06/2025,Google,api-only
5,gemini-3-pro-preview,1104,1091,1117,+3/-4,3,10,1974,N/A,XL,N/A,moe,11/2025,Google,api-only
6,qwen3-max-2025-09-23,1103,1092,1115,+3/-3,4,10,2562,N/A,XL,N/A,moe,09/2025,Alibaba,api-only
7,gemini-2.0-flash,1100,1092,1106,+3/-2,5,10,8684,N/A,XL,N/A,moe,12/2024,Google,api-only
8,deepseek-v3-0324,1091,1082,1101,+2/-4,7,13,4385,47,XL,685,moe,03/2025,DeepSeek,open-weights
9,magistral-medium,1088,1077,1100,+3/-6,7,16,2207,N/A,L,N/A,maybe-dense,06/2025,Mistral AI,api-only
10,gpt-5.2,1085,1067,1101,+4/-10,7,21,1080,N/A,L,N/A,maybe-moe,12/2025,OpenAI,api-only
11,gemma-3-27b,1083,1076,1090,+2/-5,10,17,7688,6,S,27,dense,03/2025,Google,open-weights
12,grok-4.1-fast,1079,1064,1094,+4/-10,9,23,1461,N/A,XL,N/A,maybe-moe,11/2025,xAI,api-only
13,deepseek-chat-v3.1,1079,1065,1093,+4/-8,10,22,1588,47,XL,685,moe,08/2025,DeepSeek,open-weights
14,deepseek-v3-chat,1078,1069,1088,+4/-6,11,21,5388,47,XL,671,moe,12/2024,DeepSeek,open-weights
15,gpt-5.1,1074,1061,1087,+5/-8,11,24,2202,N/A,L,N/A,maybe-moe,11/2025,OpenAI,api-only
16,claude-4-5-sonnet,1073,1065,1081,+4/-5,13,22,5031,N/A,XL,N/A,maybe-moe,09/2025,Anthropic,api-only
17,gpt-oss-120b,1072,1059,1088,+7/-8,11,26,1423,3,L,117,moe,08/2025,OpenAI,open-weights
18,glm-4.5,1071,1058,1084,+7/-7,12,26,2178,21,L,355,moe,07/2025,Zhipu,open-weights
19,gemma-3-12b,1064,1057,1071,+4/-6,18,28,7332,4,XS,12,dense,03/2025,Google,open-weights
20,grok-4-fast,1063,1052,1074,+6/-7,17,30,2623,N/A,XL,N/A,maybe-moe,09/2025,xAI,api-only
21,claude-4-sonnet,1062,1051,1074,+7/-6,17,30,2540,N/A,XL,N/A,maybe-moe,05/2025,Anthropic,api-only
22,mistral-small-2506,1060,1051,1069,+5/-5,20,30,4151,6,S,24,dense,06/2025,Mistral AI,open-weights
23,grok-3-mini-beta,1060,1046,1075,+9/-6,17,32,1537,N/A,L,N/A,maybe-moe,04/2025,xAI,api-only
24,deepseek-r1-0528,1056,1041,1072,+10/-6,18,34,1229,47,XL,685,moe,05/2025,DeepSeek,open-weights
25,command-a,1055,1048,1062,+6/-1,24,31,7088,18,L,111,dense,03/2025,Cohere,open-weights
26,magistral-small-2506,1049,1039,1059,+5/-4,26,35,3147,6,S,24,dense,06/2025,Mistral AI,open-weights
27,claude-3-7-sonnet,1048,1039,1058,+6/-3,26,35,3907,N/A,XL,N/A,maybe-moe,02/2025,Anthropic,api-only
28,llama-3.1-nemotron-70b-instruct,1044,1035,1051,+5/-2,29,36,6709,12,M,70,dense,10/2024,Nvidia,open-weights
29,glm-4.6,1038,1025,1050,+5/-5,30,40,2089,21,L,357,moe,09/2025,Zhipu,open-weights
30,gemma-3-4b,1037,1030,1044,+3/-2,33,38,8383,3,XS,4,dense,03/2025,Google,open-weights
31,gpt-4.1-mini,1031,1023,1038,+2/-4,35,41,7173,N/A,M,N/A,maybe-dense,04/2025,OpenAI,api-only
32,gemini-1.5-pro,1030,1023,1038,+3/-3,35,41,7387,N/A,XL,N/A,moe,09/2024,Google,api-only
